Vardas                   Pavarde                  ND 1      ND 2      ND 3      ND 4      ND 5      ND 6      ND 7      ND 8      ND 9      ND 10     Egz.      
Vardas1                  Pavarde1                 2         8         5         1         10        5         9         9         3         5         6         
Vardas2                  Pavarde2                 6         2         8         2         2         6         3         8         7         2         5         
Vardas3                  Pavarde3                 3         4         3         3         2         7         9         6         8         7         2         
Vardas4                  Pavarde4                 9         10        3         8         10        6         5         4         2         3         4         
Vardas5                  Pavarde5                 4         5         2         2         4         9         8         5         3         8         8         
Vardas6                  Pavarde6                 10        4         2         10        9         7         6         1         3         9         7         
Vardas7                  Pavarde7                 1         3         5         9         7         6         1         10        1         1         7         
Vardas8                  Pavarde8                 2         4         9         10        4         5         5         7         1         7         7         
Vardas9                  Pavarde9                 2         9         5         10        7         4         8         9         9         3         10        
Vardas10                 Pavarde10                2         4         6         10        9         5         1         8         7         4         7         
Vardas11                 Pavarde11                2         6         5         3         1         10        8         4         8         3         7         
Vardas12                 Pavarde12                1         2         7         6         8         6         5         2         3         1         1         
Vardas13                 Pavarde13                2         5         7         1         8         2         8         8         8         8         4         
Vardas14                 Pavarde14                4         6         10        10        9         2         9         3         7         7         1         
Vardas15                 Pavarde15                4         9         1         2         3         6         1         10        5         8         9         
Vardas16                 Pavarde16                4         6         2         3         1         2         7         5         1         7         2         
Vardas17                 Pavarde17                9         10        9         5         2         5         4         10        9         9         1         
Vardas18                 Pavarde18                9         8         8         9         4         9         4         8         2         1         8         
Vardas19                 Pavarde19                4         5         10        7         6         2         1         10        10        7         9         
Vardas20                 Pavarde20                4         5         9         5         10        10        3         6         6         4         4         
Vardas21                 Pavarde21                4         8         5         4         9         1         9         9         1         7         9         
Vardas22                 Pavarde22                2         10        9         10        8         3         3         9         3         9         10        
Vardas23                 Pavarde23                1         8         9         2         6         9         7         2         3         5         3         
Vardas24                 Pavarde24                6         9         7         3         7         6         4         10        3         5         7         
Vardas25                 Pavarde25                2         9         3         2         2         10        8         7         3         10        6         
Vardas26                 Pavarde26                3         1         1         4         10        2         9         2         10        6         4         
Vardas27                 Pavarde27                3         6         3         6         9         7         8         8         3         3         10        
Vardas28                 Pavarde28                5         2         10        7         10        9         3         6         6         5         10        
Vardas29                 Pavarde29                2         3         6         1         9         4         10        4         10        7         8         
Vardas30                 Pavarde30                10        10        8         7         10        4         6         8         7         7         6         
Vardas31                 Pavarde31                9         3         6         5         5         2         7         2         7         4         4         
Vardas32                 Pavarde32                6         6         4         3         9         3         6         4         7         2         9         
Vardas33                 Pavarde33                7         3         2         5         7         3         10        2         6         1         4         
Vardas34                 Pavarde34                7         5         10        3         10        4         5         5         1         6         10        
Vardas35                 Pavarde35                7         4         5         3         9         9         8         6         9         2         3         
Vardas36                 Pavarde36                6         8         5         5         5         5         5         3         10        4         1         
Vardas37                 Pavarde37                8         8         9         8         4         1         4         9         3         6         3         
Vardas38                 Pavarde38                1         4         8         3         10        8         6         4         5         4         3         
Vardas39                 Pavarde39                2         2         4         3         6         4         6         2         3         3         3         
Vardas40                 Pavarde40                7         5         1         8         1         4         5         1         1         6         4         
Vardas41                 Pavarde41                2         1         7         8         6         1         1         5         6         5         10        
Vardas42                 Pavarde42                6         7         5         9         3         2         7         9         4         2         5         
Vardas43                 Pavarde43                9         5         10        3         1         8         1         7         1         8         1         
Vardas44                 Pavarde44                6         7         8         4         9         5         10        3         7         6         8         
Vardas45                 Pavarde45                8         5         6         8         10        9         4         1         3         3         4         
Vardas46                 Pavarde46                7         8         2         6         6         5         1         3         7         1         7         
Vardas47                 Pavarde47                2         2         2         8         4         1         1         5         9         4         1         
Vardas48                 Pavarde48                2         3         10        1         4         9         9         6         8         8         1         
Vardas49                 Pavarde49                9         10        4         1         8         5         8         9         4         8         2         
Vardas50                 Pavarde50                1         1         9         4         5         6         1         2         5         6         7         
Vardas51                 Pavarde51                3         1         4         6         7         7         7         8         7         8         8         
Vardas52                 Pavarde52                2         10        2         7         3         8         3         8         7         6         2         
Vardas53                 Pavarde53                4         10        10        6         10        3         7         6         4         3         5         
Vardas54                 Pavarde54                5         5         3         8         10        3         4         8         4         2         6         
Vardas55                 Pavarde55                8         9         6         9         4         3         5         2         2         6         10        
Vardas56                 Pavarde56                6         2         1         7         5         6         4         1         9         10        2         
Vardas57                 Pavarde57                4         5         8         5         7         4         7         6         3         9         2         
Vardas58                 Pavarde58                1         4         2         6         6         3         3         2         8         5         9         
Vardas59                 Pavarde59                3         4         7         4         1         4         6         3         9         1         8         
Vardas60                 Pavarde60                3         3         6         10        2         1         9         6         1         8         10        
Vardas61                 Pavarde61                1         6         4         5         2         1         5         9         6         10        3         
Vardas62                 Pavarde62                6         5         2         4         10        6         9         3         8         10        7         
Vardas63                 Pavarde63                2         8         8         2         10        1         4         5         2         8         6         
Vardas64                 Pavarde64                4         4         3         5         2         3         10        1         9         8         5         
Vardas65                 Pavarde65                6         7         9         1         8         8         5         4         2         4         7         
Vardas66                 Pavarde66                4         1         2         10        1         5         3         10        4         2         5         
Vardas67                 Pavarde67                9         3         1         6         6         10        4         3         9         8         5         
Vardas68                 Pavarde68                9         2         5         4         6         6         3         7         9         10        3         
Vardas69                 Pavarde69                10        6         10        5         6         1         6         9         9         1         2         
Vardas70                 Pavarde70                4         3         3         3         8         1         4         2         4         4         8         
Vardas71                 Pavarde71                1         10        6         6         9         4         8         9         4         8         10        
Vardas72                 Pavarde72                4         10        2         9         3         9         1         2         9         5         9         
Vardas73                 Pavarde73                7         1         10        4         1         1         9         8         7         4         6         
Vardas74                 Pavarde74                7         6         9         4         10        5         9         4         10        8         7         
Vardas75                 Pavarde75                5         6         9         7         2         6         6         2         10        7         5         
Vardas76                 Pavarde76                6         5         3         6         4         3         7         9         3         7         7         
Vardas77                 Pavarde77                4         10        5         6         7         3         6         4         6         7         7         
