Vardas                   Pavarde                  ND1ND        2ND        3ND        4ND        5Egz.      
Vardas1                  Pavarde1                 4         7         1         9         9         7         
Vardas2                  Pavarde2                 5         3         4         2         8         9         
Vardas3                  Pavarde3                 3         10        6         3         5         3         
Vardas4                  Pavarde4                 8         9         10        2         3         3         
Vardas5                  Pavarde5                 6         5         10        5         2         7         
Vardas6                  Pavarde6                 3         7         9         8         3         7         
Vardas7                  Pavarde7                 1         6         10        1         3         2         
Vardas8                  Pavarde8                 1         1         1         4         2         9         
Vardas9                  Pavarde9                 6         10        9         10        1         5         
Vardas10                 Pavarde10                7         2         6         3         3         5         
Vardas11                 Pavarde11                1         3         1         1         5         8         
Vardas12                 Pavarde12                3         3         8         10        7         8         
Vardas13                 Pavarde13                8         10        8         10        8         7         
Vardas14                 Pavarde14                2         5         8         6         8         2         
Vardas15                 Pavarde15                3         6         3         3         8         1         
Vardas16                 Pavarde16                2         10        9         5         2         4         
Vardas17                 Pavarde17                3         7         5         2         4         9         
Vardas18                 Pavarde18                3         3         10        5         5         5         
Vardas19                 Pavarde19                7         10        8         4         5         3         
Vardas20                 Pavarde20                10        8         7         4         10        6         
Vardas21                 Pavarde21                9         1         5         6         1         2         
Vardas22                 Pavarde22                6         5         10        1         3         3         
Vardas23                 Pavarde23                10        2         9         5         4         5         
Vardas24                 Pavarde24                6         7         2         7         2         10        
Vardas25                 Pavarde25                2         1         1         9         9         2         
Vardas26                 Pavarde26                1         10        5         5         10        4         
Vardas27                 Pavarde27                9         6         5         4         6         9         
Vardas28                 Pavarde28                4         1         5         3         1         7         
Vardas29                 Pavarde29                7         3         3         3         5         2         
Vardas30                 Pavarde30                9         3         4         6         5         6         
Vardas31                 Pavarde31                8         6         1         2         10        5         
Vardas32                 Pavarde32                9         9         3         5         8         8         
Vardas33                 Pavarde33                3         4         4         8         5         3         
Vardas34                 Pavarde34                1         1         7         5         2         4         
Vardas35                 Pavarde35                9         9         5         4         7         9         
Vardas36                 Pavarde36                2         4         3         2         9         5         
Vardas37                 Pavarde37                7         7         7         4         10        3         
Vardas38                 Pavarde38                2         6         6         8         9         9         
Vardas39                 Pavarde39                9         1         4         4         2         1         
Vardas40                 Pavarde40                10        6         5         4         1         3         
Vardas41                 Pavarde41                1         8         6         6         8         7         
Vardas42                 Pavarde42                4         10        5         5         9         8         
Vardas43                 Pavarde43                9         8         1         4         5         6         
Vardas44                 Pavarde44                6         7         4         1         2         6         
Vardas45                 Pavarde45                3         9         10        2         5         8         
Vardas46                 Pavarde46                5         7         7         9         4         3         
Vardas47                 Pavarde47                4         2         7         6         1         3         
Vardas48                 Pavarde48                5         6         1         1         5         7         
Vardas49                 Pavarde49                6         4         2         1         6         4         
Vardas50                 Pavarde50                5         8         3         10        8         10        
Vardas51                 Pavarde51                1         8         7         5         8         5         
Vardas52                 Pavarde52                1         9         4         3         1         8         
Vardas53                 Pavarde53                10        3         7         3         6         8         
Vardas54                 Pavarde54                2         9         5         10        5         6         
Vardas55                 Pavarde55                10        6         5         2         1         10        
Vardas56                 Pavarde56                2         1         10        10        8         4         
Vardas57                 Pavarde57                3         2         9         9         4         7         
Vardas58                 Pavarde58                10        9         4         3         3         9         
Vardas59                 Pavarde59                6         6         7         9         5         2         
Vardas60                 Pavarde60                1         7         2         2         7         9         
Vardas61                 Pavarde61                1         10        7         3         8         1         
Vardas62                 Pavarde62                10        9         1         8         4         8         
Vardas63                 Pavarde63                8         10        6         2         5         2         
Vardas64                 Pavarde64                6         3         9         6         9         3         
Vardas65                 Pavarde65                1         8         10        5         7         2         
Vardas66                 Pavarde66                6         8         1         9         1         6         
Vardas67                 Pavarde67                7         1         9         6         4         3         
Vardas68                 Pavarde68                1         9         5         10        3         1         
Vardas69                 Pavarde69                2         8         8         9         5         6         
Vardas70                 Pavarde70                8         8         9         8         8         6         
Vardas71                 Pavarde71                8         4         2         10        3         1         
Vardas72                 Pavarde72                10        8         9         6         2         8         
Vardas73                 Pavarde73                10        2         4         3         6         9         
Vardas74                 Pavarde74                4         5         10        10        3         6         
Vardas75                 Pavarde75                2         2         4         1         7         8         
Vardas76                 Pavarde76                5         9         3         2         7         2         
Vardas77                 Pavarde77                5         10        1         4         3         10        
Vardas78                 Pavarde78                6         7         6         3         7         3         
Vardas79                 Pavarde79                2         7         7         5         3         3         
Vardas80                 Pavarde80                10        6         8         2         3         5         
Vardas81                 Pavarde81                9         7         9         10        9         6         
Vardas82                 Pavarde82                1         2         7         2         4         10        
Vardas83                 Pavarde83                7         5         5         7         5         8         
Vardas84                 Pavarde84                1         8         2         10        10        10        
Vardas85                 Pavarde85                4         2         4         6         9         6         
Vardas86                 Pavarde86                7         7         10        1         10        2         
Vardas87                 Pavarde87                3         2         9         7         5         5         
Vardas88                 Pavarde88                4         7         4         1         1         9         
Vardas89                 Pavarde89                7         2         8         1         2         2         
Vardas90                 Pavarde90                2         1         4         8         1         5         
Vardas91                 Pavarde91                5         9         3         7         10        2         
Vardas92                 Pavarde92                8         9         5         2         1         2         
Vardas93                 Pavarde93                1         5         1         2         7         3         
Vardas94                 Pavarde94                8         1         3         1         2         3         
Vardas95                 Pavarde95                8         9         4         1         7         3         
Vardas96                 Pavarde96                9         9         9         8         2         2         
Vardas97                 Pavarde97                3         4         3         6         10        1         
Vardas98                 Pavarde98                1         10        9         6         3         9         
Vardas99                 Pavarde99                9         1         4         5         10        5         
Vardas100                Pavarde100               6         2         1         2         8         9         
Vardas101                Pavarde101               1         4         5         7         10        3         
Vardas102                Pavarde102               6         7         2         3         2         4         
Vardas103                Pavarde103               5         9         10        5         5         9         
Vardas104                Pavarde104               1         6         2         4         8         9         
Vardas105                Pavarde105               2         10        9         5         10        5         
Vardas106                Pavarde106               4         1         9         1         1         9         
Vardas107                Pavarde107               1         9         5         9         6         9         
Vardas108                Pavarde108               8         3         4         6         3         1         
Vardas109                Pavarde109               9         4         1         6         10        7         
Vardas110                Pavarde110               7         8         4         4         5         3         
Vardas111                Pavarde111               7         6         1         2         3         5         
Vardas112                Pavarde112               5         4         6         6         10        1         
Vardas113                Pavarde113               7         2         1         6         5         4         
Vardas114                Pavarde114               4         10        5         3         7         6         
Vardas115                Pavarde115               9         10        1         10        7         4         
Vardas116                Pavarde116               2         9         3         3         3         5         
Vardas117                Pavarde117               9         2         9         4         6         10        
Vardas118                Pavarde118               3         6         7         1         3         9         
Vardas119                Pavarde119               7         7         5         10        6         6         
Vardas120                Pavarde120               2         8         5         5         10        2         
Vardas121                Pavarde121               5         7         2         8         5         4         
Vardas122                Pavarde122               8         1         7         3         10        10        
Vardas123                Pavarde123               5         3         2         9         1         9         
Vardas124                Pavarde124               5         3         3         1         4         2         
Vardas125                Pavarde125               3         5         4         10        6         10        
Vardas126                Pavarde126               10        6         9         1         7         1         
Vardas127                Pavarde127               1         1         1         5         8         9         
Vardas128                Pavarde128               10        3         3         9         4         9         
Vardas129                Pavarde129               7         4         9         6         8         10        
Vardas130                Pavarde130               1         8         2         8         9         5         
Vardas131                Pavarde131               10        1         2         7         2         1         
Vardas132                Pavarde132               6         3         4         6         2         6         
Vardas133                Pavarde133               8         6         9         8         2         1         
Vardas134                Pavarde134               9         9         5         9         7         1         
Vardas135                Pavarde135               8         6         2         1         3         9         
Vardas136                Pavarde136               8         7         9         3         7         8         
Vardas137                Pavarde137               4         7         4         10        9         6         
Vardas138                Pavarde138               7         3         4         3         7         8         
Vardas139                Pavarde139               1         5         1         7         9         4         
Vardas140                Pavarde140               8         7         9         6         3         2         
Vardas141                Pavarde141               8         8         3         9         1         2         
Vardas142                Pavarde142               7         8         5         9         5         9         
Vardas143                Pavarde143               10        3         5         7         5         2         
Vardas144                Pavarde144               8         7         4         10        7         2         
Vardas145                Pavarde145               4         3         10        6         9         4         
Vardas146                Pavarde146               10        4         8         2         5         2         
Vardas147                Pavarde147               3         8         6         2         6         1         
Vardas148                Pavarde148               7         1         9         5         2         5         
Vardas149                Pavarde149               8         8         3         8         3         3         
Vardas150                Pavarde150               8         2         9         2         3         3         
Vardas151                Pavarde151               9         1         9         6         3         5         
Vardas152                Pavarde152               6         3         6         6         4         8         
Vardas153                Pavarde153               8         7         7         3         9         1         
Vardas154                Pavarde154               7         5         5         9         9         3         
Vardas155                Pavarde155               9         6         4         5         6         1         
Vardas156                Pavarde156               10        2         3         4         4         7         
Vardas157                Pavarde157               1         6         8         9         1         10        
Vardas158                Pavarde158               4         5         6         2         7         4         
Vardas159                Pavarde159               5         3         10        2         8         8         
Vardas160                Pavarde160               7         4         7         9         9         6         
Vardas161                Pavarde161               9         5         5         2         9         5         
Vardas162                Pavarde162               3         4         9         4         4         6         
Vardas163                Pavarde163               8         6         2         9         2         4         
Vardas164                Pavarde164               1         7         8         1         1         5         
Vardas165                Pavarde165               7         8         1         6         3         8         
Vardas166                Pavarde166               7         10        10        8         3         5         
Vardas167                Pavarde167               5         8         2         6         6         9         
Vardas168                Pavarde168               6         5         5         4         8         9         
Vardas169                Pavarde169               2         8         2         3         7         3         
Vardas170                Pavarde170               5         3         6         2         1         4         
Vardas171                Pavarde171               4         5         3         1         2         7         
Vardas172                Pavarde172               8         2         8         6         2         1         
Vardas173                Pavarde173               6         3         7         10        5         1         
Vardas174                Pavarde174               5         3         8         9         8         9         
Vardas175                Pavarde175               6         6         6         3         3         5         
Vardas176                Pavarde176               4         1         7         1         3         3         
Vardas177                Pavarde177               3         1         2         10        10        4         
Vardas178                Pavarde178               2         10        6         3         1         6         
Vardas179                Pavarde179               3         5         5         4         7         5         
Vardas180                Pavarde180               9         6         3         4         4         5         
Vardas181                Pavarde181               10        5         10        10        2         1         
Vardas182                Pavarde182               9         7         5         10        2         8         
Vardas183                Pavarde183               1         2         7         1         4         9         
Vardas184                Pavarde184               2         5         4         4         1         7         
Vardas185                Pavarde185               7         1         2         2         7         10        
Vardas186                Pavarde186               6         2         5         1         5         1         
Vardas187                Pavarde187               5         5         8         5         1         4         
Vardas188                Pavarde188               4         5         9         7         3         8         
Vardas189                Pavarde189               5         2         3         4         2         3         
Vardas190                Pavarde190               6         2         6         2         10        10        
Vardas191                Pavarde191               9         8         4         4         8         1         
Vardas192                Pavarde192               2         10        3         8         6         6         
Vardas193                Pavarde193               7         1         2         4         3         1         
Vardas194                Pavarde194               8         10        8         10        8         6         
Vardas195                Pavarde195               9         8         3         8         10        7         
Vardas196                Pavarde196               5         9         9         5         2         2         
Vardas197                Pavarde197               6         10        7         5         5         8         
Vardas198                Pavarde198               8         3         4         9         1         2         
Vardas199                Pavarde199               6         4         7         2         5         6         
Vardas200                Pavarde200               1         9         3         7         6         9         
Vardas201                Pavarde201               8         7         5         2         10        10        
Vardas202                Pavarde202               5         2         2         10        9         5         
Vardas203                Pavarde203               6         3         2         1         3         1         
Vardas204                Pavarde204               9         5         1         2         6         4         
Vardas205                Pavarde205               5         4         9         10        10        2         
Vardas206                Pavarde206               9         2         2         10        2         4         
Vardas207                Pavarde207               7         1         10        7         9         8         
Vardas208                Pavarde208               4         6         7         7         4         9         
Vardas209                Pavarde209               8         1         10        2         6         9         
Vardas210                Pavarde210               9         5         1         4         7         5         
Vardas211                Pavarde211               4         5         8         1         2         1         
Vardas212                Pavarde212               10        6         2         10        9         6         
Vardas213                Pavarde213               3         6         6         8         10        8         
Vardas214                Pavarde214               9         2         8         8         3         8         
Vardas215                Pavarde215               7         1         9         3         8         8         
Vardas216                Pavarde216               8         1         8         9         5         1         
Vardas217                Pavarde217               10        6         6         3         2         10        
Vardas218                Pavarde218               10        2         4         9         8         1         
Vardas219                Pavarde219               5         9         7         9         4         4         
Vardas220                Pavarde220               3         6         7         9         1         9         
Vardas221                Pavarde221               6         4         2         4         1         7         
Vardas222                Pavarde222               4         3         1         7         9         5         
Vardas223                Pavarde223               6         3         9         6         7         7         
Vardas224                Pavarde224               2         6         7         6         5         2         
Vardas225                Pavarde225               9         4         10        3         1         1         
Vardas226                Pavarde226               9         7         5         9         9         7         
Vardas227                Pavarde227               4         1         5         8         10        10        
Vardas228                Pavarde228               3         1         6         6         8         6         
Vardas229                Pavarde229               3         1         7         7         1         2         
Vardas230                Pavarde230               1         6         5         8         8         10        
Vardas231                Pavarde231               5         8         3         6         2         3         
Vardas232                Pavarde232               3         3         7         2         9         1         
Vardas233                Pavarde233               8         5         8         9         8         5         
Vardas234                Pavarde234               7         9         4         7         7         7         
Vardas235                Pavarde235               5         4         3         2         8         4         
Vardas236                Pavarde236               9         8         8         7         5         7         
Vardas237                Pavarde237               2         5         4         5         1         6         
Vardas238                Pavarde238               3         5         9         10        3         1         
Vardas239                Pavarde239               1         3         6         1         1         2         
Vardas240                Pavarde240               2         2         6         4         6         5         
Vardas241                Pavarde241               5         9         9         3         5         6         
Vardas242                Pavarde242               3         10        5         10        3         4         
Vardas243                Pavarde243               8         9         5         7         7         3         
Vardas244                Pavarde244               4         2         2         6         4         3         
Vardas245                Pavarde245               7         2         5         5         5         2         
Vardas246                Pavarde246               6         4         1         1         6         10        
Vardas247                Pavarde247               8         7         10        2         4         10        
Vardas248                Pavarde248               6         9         5         9         1         9         
Vardas249                Pavarde249               1         8         1         9         8         6         
Vardas250                Pavarde250               6         7         6         5         10        3         
Vardas251                Pavarde251               2         2         7         8         5         1         
Vardas252                Pavarde252               10        7         6         4         7         9         
Vardas253                Pavarde253               6         5         1         1         5         6         
Vardas254                Pavarde254               4         2         4         10        3         4         
Vardas255                Pavarde255               4         10        5         8         3         9         
Vardas256                Pavarde256               7         7         8         10        8         8         
Vardas257                Pavarde257               7         1         9         9         6         9         
Vardas258                Pavarde258               8         10        5         8         8         10        
Vardas259                Pavarde259               4         8         8         7         6         3         
Vardas260                Pavarde260               10        7         10        2         1         7         
Vardas261                Pavarde261               7         6         1         6         6         5         
Vardas262                Pavarde262               3         2         7         4         5         8         
Vardas263                Pavarde263               4         1         3         9         10        10        
Vardas264                Pavarde264               10        9         3         2         3         5         
Vardas265                Pavarde265               10        3         2         7         6         5         
Vardas266                Pavarde266               1         2         2         5         8         5         
Vardas267                Pavarde267               2         10        8         7         7         6         
Vardas268                Pavarde268               6         9         9         4         5         3         
Vardas269                Pavarde269               6         9         3         7         4         10        
Vardas270                Pavarde270               2         7         9         8         6         10        
Vardas271                Pavarde271               9         1         7         10        7         4         
Vardas272                Pavarde272               6         1         5         1         4         7         
Vardas273                Pavarde273               7         3         1         5         2         1         
Vardas274                Pavarde274               10        1         7         2         9         1         
Vardas275                Pavarde275               4         7         3         6         1         10        
Vardas276                Pavarde276               3         5         4         1         1         1         
Vardas277                Pavarde277               5         2         2         10        8         3         
Vardas278                Pavarde278               5         1         7         4         3         6         
Vardas279                Pavarde279               7         8         8         10        9         7         
Vardas280                Pavarde280               3         4         2         10        10        7         
Vardas281                Pavarde281               7         9         9         5         3         1         
Vardas282                Pavarde282               10        8         6         5         2         3         
